subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
http://w3id.org/CEON/ontology/actor/UsingResource;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Resource;UsingResource;Resource;0.72;LogMap;=;
http://w3id.org/CEON/ontology/resourceODP/Matter;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Matter;Matter;Matter;0.5;LogMap;=;
http://www.w3.org/ns/prov#Agent;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Agent;Agent;Agent;0.5;LogMap;=;
http://w3id.org/CEON/ontology/process/Energy;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Energy;Energy;Energy;0.5;LogMap;=;
http://www.w3.org/ns/prov#Communication;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Communication;Communication;Communication;0.5;LogMap;=;
http://w3id.org/CEON/ontology/material/ChemicalSubstance;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#ChemicalSubstance;ChemicalSubstance;ChemicalSubstance;0.5;LogMap;=;
http://w3id.org/CEON/ontology/material/Material;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Material;Material;Material;0.5;LogMap;=;
http://w3id.org/CEON/ontology/process/Process;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Proces;Process;Proces;0.51;LogMap;=;
http://www.w3.org/ns/prov#Generation;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Generation;Generation;Generation;0.7;LogMap;=;
http://w3id.org/CEON/ontology/process/ManufacturingProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Manufacturing;ManufacturingProcess;Manufacturing;0.79;LogMap;=;
http://w3id.org/CEON/ontology/process/RecycleProcess;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Recycling;RecycleProcess;Recycling;0.84;LogMap;=;
http://www.w3.org/ns/prov#Activity;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Activity;Activity;Activity;0.7;LogMap;=;
http://w3id.org/CEON/ontology/resourceODP/Information;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Information;Information;Information;0.9;LogMap;=;
http://w3id.org/CEON/ontology/resourceODP/Resource;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Resource;Resource;Resource;0.52;LogMap;=;
http://w3id.org/CEON/ontology/value/ValueProposition;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#ValueProposition;ValueProposition;ValueProposition;0.7;LogMap;=;
http://www.w3.org/ns/prov#Entity;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Entity;Entity;Entity;0.72;LogMap;=;
http://www.w3.org/ns/prov#Person;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Person;Person;Person;0.7;LogMap;=;
http://w3id.org/CEON/ontology/product/Product;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Product;Product;Product;0.7;LogMap;=;
http://w3id.org/CEON/ontology/product/Product;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Production;Product;Production;0.51;LogMap;=;
http://www.w3.org/ns/prov#Organization;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Organization;Organization;Organization;0.5;LogMap;=;
http://w3id.org/CEON/ontology/actorODP/Participation;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Participation;Participation;Participation;0.72;LogMap;=;
http://w3id.org/CEON/ontology/processODP/Process;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Proces;Process;Proces;0.77;LogMap;=;
http://w3id.org/CEON/ontology/provenance/Statement;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#State;Statement;State;0.5;LogMap;=;
http://www.w3.org/ns/prov#Plan;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#Plan;Plan;Plan;0.5;LogMap;=;
http://w3id.org/CEON/ontology/resourceODP/hasPart;http://w3id.org/CEON/ontology/full/0.1;http://w3id.org/CEON/ontology/full/0.1;;http://ontorion.com/namespace#hasPart;hasPart;hasPart;1.0;LogMap;=;
